200 978
0 105 5.6365
1 136 48.9735
1 147 49.7735
1 156 49.0585
1 157 49.463
1 170 49.711
1 174 49.8145
1 178 49.5185
1 184 49.3355
1 185 49.756
1 186 48.557
2 186 5.126
3 51 49.7945
3 63 49.6665
3 67 49.6025
3 105 49.267
3 132 49.836
3 136 49.473
3 156 49.4575
3 157 49.993
3 184 49.92
3 186 49.1965
4 105 5.1105
5 36 49.924
5 142 49.9755
5 166 49.913
5 171 49.7295
5 178 48.697
5 184 48.4915
5 185 48.7715
5 186 47.4705
5 188 49.2715
5 194 49.6695
6 51 49.736
6 63 49.5735
6 67 49.694
6 105 49.2595
6 132 49.9565
6 136 49.389
6 156 49.524
6 157 49.989
6 184 49.9125
6 186 49.1095
7 186 3.598
8 186 5.6805
9 25 49.801
9 51 49.687
9 63 49.618
9 67 49.7315
9 94 49.982
9 105 49.423
9 132 49.796
9 136 49.4565
9 156 49.488
9 186 49.0905
10 186 3.4395
11 186 8.306
12 105 4.5435
13 132 49.7375
13 136 48.9995
13 147 49.973
13 156 49.226
13 157 49.6945
13 170 49.9875
13 178 49.8665
13 184 49.4745
13 185 49.9
13 186 48.7215
14 186 8.499
15 186 3.554
17 46 12.1725
19 186 7.033
20 132 6.5265
21 105 49.937
21 186 49.775
22 67 49.544
22 94 49.774
22 105 49.361
22 132 49.6415
22 136 49.5405
22 156 49.579
22 157 49.973
22 170 49.9395
22 184 49.8565
22 186 49.179
23 142 49.975
23 145 49.952
23 159 49.883
23 174 49.4385
23 178 48.8675
23 184 48.7515
23 185 49.1
23 186 47.83
23 188 49.428
23 194 49.9215
24 105 6.9185
25 36 49.985
25 88 49.8675
25 145 49.9605
25 166 49.9795
25 171 49.9445
25 185 48.896
25 186 47.7455
25 188 49.3485
25 194 49.636
26 63 49.9915
26 105 49.8745
26 136 49.9445
26 186 49.651
27 28 8.4885
28 160 49.714
28 162 49.5985
28 170 49.403
28 174 49.851
28 178 49.387
28 184 49.23
28 185 49.4555
28 186 48.3545
28 188 49.634
30 105 49.9705
30 186 49.925
31 186 3.8975
32 186 5.412
33 105 5.0845
34 186 4.0785
35 186 6.1855
36 51 49.7885
36 63 49.864
36 67 49.964
36 105 49.623
36 132 49.7335
36 136 49.7705
36 156 49.794
36 186 49.463
37 95 49.9605
37 111 49.9095
37 162 49.9085
37 170 49.6595
37 174 49.897
37 178 49.596
37 184 49.507
37 185 49.8385
37 186 48.588
37 188 49.988
38 186 5.6895
39 67 49.4575
39 92 49.8725
39 94 49.8345
39 105 49.191
39 132 49.805
39 136 49.235
39 156 49.4585
39 157 49.7095
39 184 49.8055
39 186 48.9335
40 48 28.369
40 70 24.282
41 186 5.8865
42 179 6.941
43 105 49.93
43 186 49.848
44 186 49.9735
45 186 3.966
46 48 16.523
46 70 33.3715
47 186 4.51
50 105 8.33
51 88 49.839
51 90 49.912
51 96 49.9105
51 142 49.8765
51 145 49.727
51 153 49.6995
51 159 49.831
51 166 49.7935
51 171 49.7715
51 194 49.8035
52 186 5.9445
53 105 49.253
53 128 49.889
53 132 49.7645
53 136 49.4255
53 156 49.3785
53 157 49.874
53 170 49.9885
53 178 49.842
53 184 49.8125
53 186 49.0445
54 186 7.5235
55 186 6.2195
56 58 49.901
56 132 49.71
56 136 49.215
56 147 49.814
56 156 49.157
56 157 49.8565
56 178 49.84
56 184 49.734
56 185 49.963
56 186 48.831
57 132 6.994
58 147 49.73
58 156 49.0295
58 157 49.6495
58 160 49.898
58 170 49.6715
58 178 49.6845
58 184 49.473
58 185 49.7575
58 186 48.4965
59 186 4.138
60 186 4.086
61 105 49.823
61 136 49.925
61 186 49.6335
62 186 3.708
63 88 49.771
63 90 49.977
63 96 49.798
63 103 8.4755
63 122 49.8825
63 126 49.4985
63 130 49.5875
63 142 49.828
63 145 49.69
63 153 49.4305
63 159 49.793
63 166 49.812
63 171 49.674
64 186 5.82
65 186 6.769
66 105 7.313
67 88 49.824
67 90 49.973
67 122 49.938
67 126 49.521
67 130 49.5085
67 142 49.892
67 145 49.762
67 153 49.584
67 159 49.739
67 171 49.7705
67 194 49.6385
68 186 4.82
69 186 7.6345
71 186 4.286
72 186 3.5105
73 186 3.9525
74 186 49.9715
75 186 3.5585
76 105 49.959
76 186 49.8615
77 160 5.5055
78 186 3.8455
79 105 49.9455
79 136 49.968
79 186 49.6365
80 186 3.524
81 186 49.8595
82 105 49.9215
82 186 49.7275
83 132 6.983
84 186 4.378
85 186 4.2145
86 186 6.6675
87 179 7.77
88 105 49.486
88 132 49.84
88 136 49.714
88 156 49.66
88 184 49.9455
88 186 49.3745
89 132 6.8955
90 105 49.672
90 132 49.801
90 136 49.938
90 156 49.81
90 186 49.61
91 186 3.8455
92 126 49.947
92 129 49.719
92 160 49.5795
92 174 49.824
92 178 49.465
92 184 49.246
92 185 49.488
92 186 48.2675
92 188 49.8965
93 186 4.0325
94 129 49.5915
94 160 49.739
94 178 49.132
94 184 48.9005
94 185 49.25
94 186 47.878
94 188 49.6985
95 128 49.9795
95 132 49.7065
95 136 49.301
95 147 49.9735
95 156 49.4645
95 157 49.925
95 170 49.979
95 184 49.8345
95 186 49.0295
96 105 49.7275
96 136 49.7975
